priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,GSC evidence,featured snippet evidence,backlink evidence,source body found,source body quality,old image availability,image recovery status,Sanity status,best new route,preserve URL or redirect,redirect target,canonical,sitemap status,legal safety status,approval status,recovery classification,priority score,notes
148,https://chamanlawfirm.com/the-role-of-regulatory-bodies/,The Role Of Regulatory Bodies,,,general legal education,live 404,84 clicks; 12523 impressions; avg position 17.56 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/the-role-of-regulatory-bodies,redirect old URL to best new route,/resources/blog/the-role-of-regulatory-bodies,https://chamanlawfirm.com/resources/blog/the-role-of-regulatory-bodies,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,965,Selected for deep Sprint 11R recovery inventory.
149,https://chamanlawfirm.com/rights-of-parties-to-a-mortgage/,Rights Of Parties To A Mortgage,,,general legal education,live 404,93 clicks; 2853 impressions; avg position 19.98 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/rights-of-parties-to-a-mortgage,redirect old URL to best new route,/resources/blog/rights-of-parties-to-a-mortgage,https://chamanlawfirm.com/resources/blog/rights-of-parties-to-a-mortgage,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,959,Selected for deep Sprint 11R recovery inventory.
150,https://chamanlawfirm.com/doctrine-of-ultra-vires/,Doctrine Of Ultra Vires,,,general legal education,live 404,83 clicks; 12540 impressions; avg position 18.04 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/doctrine-of-ultra-vires,redirect old URL to best new route,/resources/blog/doctrine-of-ultra-vires,https://chamanlawfirm.com/resources/blog/doctrine-of-ultra-vires,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,955,Selected for deep Sprint 11R recovery inventory.
151,https://chamanlawfirm.com/property-with-existing-tenants-in-nigeria/,Property With Existing Tenants In Nigeria,Property with existing tenants in Nigeria,Frustrated? Bought a Property with Existing Tenants Who Refuse to Leave? Here’s What to Do! Property with existing tenants in Nigeria...,property/title,redirect configured to /resources/blog/property-with-existing-tenants-in-nigeria,87 clicks; 3193 impressions; avg position 11.24 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/property-with-existing-tenants-in-nigeria,redirect old URL to best new route,/resources/blog/property-with-existing-tenants-in-nigeria,https://chamanlawfirm.com/resources/blog/property-with-existing-tenants-in-nigeria,included,medium - verify current law and facts before publication,approved public,restore as blog post,952,Selected for deep Sprint 11R recovery inventory.
152,https://chamanlawfirm.com/letter-of-administration-in-ogun-state/,Letter Of Administration In Ogun State,,,probate/estate,live 404,87 clicks; 2544 impressions; avg position 9.57 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/practice-areas/probate-estate-administration,redirect old URL to best new route,/practice-areas/probate-estate-administration,https://chamanlawfirm.com/practice-areas/probate-estate-administration,included,low/medium - editorial and legal review still required,not restored,restore as blog post,945,Selected for deep Sprint 11R recovery inventory.
153,https://chamanlawfirm.com/international-law-in-conflict-resolution/,International Law In Conflict Resolution,,,general legal education,live 404,86 clicks; 8203 impressions; avg position 12.21 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/international-law-in-conflict-resolution,redirect old URL to best new route,/resources/blog/international-law-in-conflict-resolution,https://chamanlawfirm.com/resources/blog/international-law-in-conflict-resolution,not included until restored/approved or static target exists,low/medium - editorial and legal review still required,not restored,restore as blog post,942,Selected for deep Sprint 11R recovery inventory.
154,https://chamanlawfirm.com/how-to-calculate-and-pay-land-use-charge/,How To Calculate And Pay Land Use Charge,Powerful Steps: How to Calculate and Pay Land Use Charge,"Land Use Charge -Discover what the Lagos Land Use Charge is, how it’s calculated, and the step-by-step process for paying it to stay compliant.",property/title,hidden Sanity draft; do not redirect,80 clicks; 8298 impressions; avg position 8.06 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,hidden/not approved,/resources/blog/how-to-calculate-and-pay-land-use-charge,redirect old URL to best new route,/resources/blog/how-to-calculate-and-pay-land-use-charge,https://chamanlawfirm.com/resources/blog/how-to-calculate-and-pay-land-use-charge,not included until restored/approved or static target exists,medium - verify current law and facts before publication,hidden/not approved,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",933,Selected for deep Sprint 11R recovery inventory.
155,https://chamanlawfirm.com/contract-breach-and-remedies/,Contract Breach And Remedies,Contract Breach And Remedies; Contract Breach in Nigeria: Powerful Remedies to Protect Your Rights and Avoid Costly Legal Pitfalls,Contract Breach And Remedies Contract Breach in Nigeria: Powerful Remedies to Protect Your Rights...,corporate/commercial,redirect configured to /resources/blog/contract-breach-and-remedies,82 clicks; 6175 impressions; avg position 9.57 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/contract-breach-and-remedies,redirect old URL to best new route,/resources/blog/contract-breach-and-remedies,https://chamanlawfirm.com/resources/blog/contract-breach-and-remedies,included,medium - verify current law and facts before publication,approved public,restore as blog post,932,Selected for deep Sprint 11R recovery inventory.
156,https://chamanlawfirm.com/legal-restrictions-to-sale-of-land/,Legal Restrictions To Sale Of Land,,,property/title,live 404,81 clicks; 7000 impressions; avg position 10.7 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/resources/blog/legal-restrictions-to-sale-of-land,redirect old URL to best new route,/resources/blog/legal-restrictions-to-sale-of-land,https://chamanlawfirm.com/resources/blog/legal-restrictions-to-sale-of-land,not included until restored/approved or static target exists,medium - verify current law and facts before publication,not restored,restore as blog post,930,Selected for deep Sprint 11R recovery inventory.
157,https://chamanlawfirm.com/how-to-obtain-dual-citizenship-in-nigeria-a/,How To Obtain Dual Citizenship In Nigeria A,How to Obtain Dual Citizenship in Nigeria,"introduction: Dual citizenship allows individuals to hold citizenship in more than one country simultaneously. For many people, it offers the flexibility to live, work, and travel across borders while retaining ties to",immigration,approved Sanity post; missing old-url redirect,74 clicks; 17312 impressions; avg position 18.62 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,redirect old URL to best new route,/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,https://chamanlawfirm.com/resources/blog/how-to-obtain-dual-citizenship-in-nigeria-a,included,low/medium - editorial and legal review still required,approved public,redirect one-hop to closest exact live equivalent,913,Selected for deep Sprint 11R recovery inventory.
158,https://chamanlawfirm.com/selling-a-family-land-without-everyones-consent/,Selling A Family Land Without Everyones Consent,Powerful Steps: Selling a Family Land / Chaman Law Firm,Selling a Family Land Without Everyone’s Consent - Understand your rights and the legal process/ / implications involved. / Chaman Law Firm,property/title,hidden Sanity draft; do not redirect,79 clicks; 7191 impressions; avg position 5.54 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,hidden/not approved,/resources/blog/selling-a-family-land-without-everyones-consent,redirect old URL to best new route,/resources/blog/selling-a-family-land-without-everyones-consent,https://chamanlawfirm.com/resources/blog/selling-a-family-land-without-everyones-consent,not included until restored/approved or static target exists,medium - verify current law and facts before publication,hidden/not approved,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",912,Selected for deep Sprint 11R recovery inventory.
