priority rank,old URL,old title,old content type,current status,clicks,impressions,average position,backlink/ranking evidence,source body found,source body quality,image found,old media found,current Sanity status,current redirect status,sitemap status,page type,legal risk,current-law risk,duplicate/cannibalization risk,business value,recommended recovery path,proposed final URL,priority score,notes
122,https://chamanlawfirm.com/lagos-tenancy-fixed-and-periodic-tenancies/,Lagos Tenancy Fixed And Periodic Tenancies,general legal education,hidden Sanity draft; do not redirect,100,100,,100 clicks; 6197 impressions; avg position 7.07 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/lagos-tenancy-fixed-and-periodic-tenancies,1001,Attempt recovery before rejection; keep hidden unless all publication gates pass.
123,https://chamanlawfirm.com/expert-witnesses-in-nigeria-court-proceeding/,Expert Witnesses In Nigeria Court Proceeding,litigation/ADR,hidden Sanity draft; do not redirect,100,100,,100 clicks; 3895 impressions; avg position 9.29 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/expert-witnesses-in-nigeria-court-proceeding,1001,Attempt recovery before rejection; keep hidden unless all publication gates pass.
124,https://chamanlawfirm.com/how-to-conduct-search-at-land-registry/,How To Conduct Search At Land Registry,property/title,redirect configured to /resources/blog/how-to-conduct-search-at-land-registry,99,99,,99 clicks; 6971 impressions; avg position 9.15 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-conduct-search-at-land-registry,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-conduct-search-at-land-registry,991,Attempt recovery before rejection; keep hidden unless all publication gates pass.
125,https://chamanlawfirm.com/importance-of-covenants-in-a-tenancy-agreement/,Importance Of Covenants In A Tenancy Agreement,general legal education,redirect configured to /resources/blog/importance-of-covenants-in-a-tenancy-agreement,99,99,,99 clicks; 4366 impressions; avg position 21.12 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/importance-of-covenants-in-a-tenancy-agreement,included,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/importance-of-covenants-in-a-tenancy-agreement,991,Attempt recovery before rejection; keep hidden unless all publication gates pass.
126,https://chamanlawfirm.com/methods-of-transfer-of-shares/,Methods Of Transfer Of Shares,corporate/commercial,live 404,89,89,,89 clicks; 6874 impressions; avg position 25.03 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/methods-of-transfer-of-shares,991,Attempt recovery before rejection; keep hidden unless all publication gates pass.
127,https://chamanlawfirm.com/how-to-prove-ownership-of-land-in-nigeria/,How To Prove Ownership Of Land In Nigeria,property/title,redirect configured to /resources/blog/how-to-prove-ownership-of-land-in-nigeria,98,98,,98 clicks; 3656 impressions; avg position 11.57 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/how-to-prove-ownership-of-land-in-nigeria,included,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/how-to-prove-ownership-of-land-in-nigeria,981,Attempt recovery before rejection; keep hidden unless all publication gates pass.
128,https://chamanlawfirm.com/laspppa-what-it-is-and-why-it-matters-in-lagos/,Laspppa What It Is And Why It Matters In Lagos,general legal education,live 404,88,88,,88 clicks; 15004 impressions; avg position 6.39 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/property-real-estate-law/lagos-physical-planning-compliance,981,Implemented in Sprint 11S as focused static/service authority page.
129,https://chamanlawfirm.com/deed-of-partition-in-nigeria/,Deed Of Partition In Nigeria,property/title,hidden Sanity draft; do not redirect,97,97,,97 clicks; 7388 impressions; avg position 11.7 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,not confirmed,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/deed-of-partition-in-nigeria,971,Attempt recovery before rejection; keep hidden unless all publication gates pass.
130,https://chamanlawfirm.com/can-a-member-be-expelled-from-a-trade-union/,Can A Member Be Expelled From A Trade Union,general legal education,live 404,87,87,,87 clicks; 3688 impressions; avg position 6.26 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/can-a-member-be-expelled-from-a-trade-union,971,Attempt recovery before rejection; keep hidden unless all publication gates pass.
131,https://chamanlawfirm.com/letter-of-administration-in-ogun-state/,Letter Of Administration In Ogun State,probate/estate,live 404,87,87,,87 clicks; 2544 impressions; avg position 9.57 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,sitemap after deployment,service,low/medium - editorial and legal review still required,medium,low; service route selected to avoid weak blog duplication,high service/lead value,restore as service page,https://chamanlawfirm.com/practice-areas/probate-estate-administration/letters-of-administration-ogun-state,971,Implemented in Sprint 11S as focused static/service authority page.
132,https://chamanlawfirm.com/international-law-in-conflict-resolution/,International Law In Conflict Resolution,general legal education,live 404,86,86,,86 clicks; 8203 impressions; avg position 12.21 from local GSC Pages.csv,not confirmed,needs review before publication,not confirmed,not confirmed in Sprint 11S,not restored,live 404,not included until restored/approved or static target exists,blog,low/medium - editorial and legal review still required,medium,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/international-law-in-conflict-resolution,961,Attempt recovery before rejection; keep hidden unless all publication gates pass.
133,https://chamanlawfirm.com/landlords-and-tenants-in-nigeria/,Landlords And Tenants In Nigeria,property/title,hidden Sanity draft; do not redirect,95,95,,95 clicks; 13014 impressions; avg position 18.12 from local GSC Pages.csv,yes in Sanity queue,needs review before publication,yes,not confirmed in Sprint 11S,hidden/not approved,hidden Sanity draft; do not redirect,not included until restored/approved or static target exists,blog,medium - verify current law and facts before publication,medium,requires check,score based on local GSC evidence,"keep hidden only if legally unsafe, duplicate, or genuinely unsuitable",https://chamanlawfirm.com/resources/blog/landlords-and-tenants-in-nigeria,951,Attempt recovery before rejection; keep hidden unless all publication gates pass.
134,https://chamanlawfirm.com/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria/,Step By Step Guide On How To Conduct A Statutory Marriage In Nigeria,family law,redirect configured to /resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,94,94,,94 clicks; 10219 impressions; avg position 17.51 from local GSC Pages.csv,not confirmed,needs review before publication,yes,not confirmed in Sprint 11S,approved public,redirect configured to /resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,included,blog,high - lawyer review required before publication,high,requires check,score based on local GSC evidence,restore as blog post,https://chamanlawfirm.com/resources/blog/step-by-step-guide-on-how-to-conduct-a-statutory-marriage-in-nigeria,941,Attempt recovery before rejection; keep hidden unless all publication gates pass.
